Date,Day,Name,Type,Details
1/1/2011,Saturday,New Year's Day,National holiday,
2/14/2011,Monday,Valentine's Day,Observance,
3/8/2011,Tuesday,Carnival / Shrove Tuesday,Optional Holiday,
3/19/2011,Saturday,St. Joseph's Day,District Holiday,Santarem
3/19/2011,Saturday,Father's Day,Observance,
3/20/2011,Sunday,March Equinox,Season,
3/27/2011,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
4/22/2011,Friday,Good Friday,National holiday,
4/24/2011,Sunday,Easter Sunday,National holiday,
4/25/2011,Monday,Liberty Day,National holiday,
5/1/2011,Sunday,Labor Day / May Day,National holiday,
5/1/2011,Sunday,Mother's Day,Observance,
5/12/2011,Thursday,St. Joana's Day,District Holiday,Aveiro
5/22/2011,Sunday,Leiria Day,District Holiday,Leiria
5/23/2011,Monday,Portalegre Day,District Holiday,Portalegre
6/2/2011,Thursday,Ascension Day,District Holiday,Beja
6/10/2011,Friday,Portugal Day,National holiday,
6/13/2011,Monday,St. Anthony's Day,District Holiday,"Lisbon, Vila Real"
6/13/2011,Monday,Azores Day,Regional Holiday,Azores
6/21/2011,Tuesday,June Solstice,Season,
6/23/2011,Thursday,Corpus Christi,National holiday,
6/24/2011,Friday,St. John's Day,District Holiday,"Braga, Porto"
6/29/2011,Wednesday,St. Peter's Day,District Holiday,Evora
7/1/2011,Friday,Madeira Day,Regional Holiday,Madeira
7/4/2011,Monday,St. Elizabeth's Day,District Holiday,Coimbra
8/15/2011,Monday,Assumption of Mary,National holiday,
8/20/2011,Saturday,Our Lady of Sorrows,District Holiday,Viana do Castelo
8/22/2011,Monday,Our Lady of Graces,District Holiday,Braganca
9/7/2011,Wednesday,Faro Day,District Holiday,Faro
9/15/2011,Thursday,Birth of Bocage,District Holiday,Set£bal
9/21/2011,Wednesday,St. Matthew's Day,District Holiday,Viseu
9/23/2011,Friday,September Equinox,Season,
10/5/2011,Wednesday,Republic Implantation,National holiday,
10/30/2011,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
11/1/2011,Tuesday,All Saints' Day,National holiday,
11/27/2011,Sunday,Foral of Sancho I,District Holiday,Guarda
12/1/2011,Thursday,Restoration of Independence,National holiday,
12/8/2011,Thursday,Feast of the Immaculate Conception,National holiday,
12/22/2011,Thursday,December Solstice,Season,
12/24/2011,Saturday,Christmas Eve,Observance,
12/25/2011,Sunday,Christmas Day,National holiday,
12/31/2011,Saturday,New Year's Eve,Observance,
1/1/2012,Sunday,New Year's Day,National holiday,
